03-28 00:25:33.439  6022  6072 E godot   : WARNING: AnimationMixer (at: Lumax_Jen.tscn): 'discovered/angry_gesture', couldn't resolve track:  '../AvatarModel/GeneralSkeleton:RightUpperLeg'. This warning can be disabled in Project Settings.
03-28 00:25:33.439  6022  6072 E godot   :    at: _update_caches (scene/animation/animation_mixer.cpp:717)
03-28 00:25:33.439  6022  6072 E godot   : WARNING: AnimationMixer (at: Lumax_Jen.tscn): 'discovered/angry_gesture', couldn't resolve track:  '../AvatarModel/GeneralSkeleton:RightLowerLeg'. This warning can be disabled in Project Settings.
03-28 00:25:33.439  6022  6072 E godot   :    at: _update_caches (scene/animation/animation_mixer.cpp:717)
03-28 00:25:33.439  6022  6072 E godot   : WARNING: AnimationMixer (at: Lumax_Jen.tscn): 'discovered/angry_gesture', couldn't resolve track:  '../AvatarModel/GeneralSkeleton:RightFoot'. This warning can be disabled in Project Settings.
03-28 00:25:33.439  6022  6072 E godot   :    at: _update_caches (scene/animation/animation_mixer.cpp:717)
03-28 00:25:33.439  6022  6072 E godot   : WARNING: AnimationMixer (at: Lumax_Jen.tscn): 'discovered/angry_gesture', couldn't resolve track:  '../AvatarModel/GeneralSkeleton:RightToes'. This warning can be disabled in Project Settings.
03-28 00:25:33.439  6022  6072 E godot   :    at: _update_caches (scene/animation/animation_mixer.cpp:717)
03-28 00:25:33.440  6022  6072 E godot   : WARNING: AnimationMixer (at: Lumax_Jen.tscn): 'discovered/annoyed_head_shake', couldn't resolve track:  '../AvatarModel/GeneralSkeleton:Hips'. This warning can be disabled in Project Settings.
03-28 00:25:33.440  6022  6072 E godot   :    at: _update_caches (scene/animation/animation_mixer.cpp:717)
03-28 00:25:33.440  6022  6072 E godot   : WARNING: AnimationMixer (at: Lumax_Jen.tscn): 'discovered/annoyed_head_shake', couldn't resolve track:  '../AvatarModel/GeneralSkeleton:Hips'. This warning can be disabled in Project Settings.
03-28 00:25:33.440  6022  6072 E godot   :    at: _update_caches (scene/animation/animation_mixer.cpp:717)
03-28 00:25:33.440  6022  6072 E godot   : WARNING: AnimationMixer (at: Lumax_Jen.tscn): 'discovered/annoyed_head_shake', couldn't resolve track:  '../AvatarModel/GeneralSkeleton:Spine'. This warning can be disabled in Project Settings.
03-28 00:25:33.440  6022  6072 E godot   :    at: _update_caches (scene/animation/animation_mixer.cpp:717)
03-28 00:25:33.440  6022  6072 E godot   : WARNING: AnimationMixer (at: Lumax_Jen.tscn): 'discovered/annoyed_head_shake', couldn't resolve track:  '../AvatarModel/GeneralSkeleton:Chest'. This warning can be disabled in Project Settings.
03-28 00:25:33.440  6022  6072 E godot   :    at: _update_caches (scene/animation/animation_mixer.cpp:717)
03-28 00:25:33.440  6022  6072 E godot   : WARNING: AnimationMixer (at: Lumax_Jen.tscn): 'discovered/annoyed_head_shake', couldn't resolve track:  '../AvatarModel/GeneralSkeleton:UpperChest'. This warning can be disabled in Project Settings.
03-28 00:25:33.440  6022  6072 E godot   :    at: _update_caches (scene/animation/animation_mixer.cpp:717)
03-28 00:25:33.440  6022  6072 E godot   : WARNING: AnimationMixer (at: Lumax_Jen.tscn): 'discovered/annoyed_head_shake', couldn't resolve track:  '../AvatarModel/GeneralSkeleton:Neck'. This warning can be disabled in Project Settings.
03-28 00:25:33.440  6022  6072 E godot   :    at: _update_caches (scene/animation/animation_mixer.cpp:717)
03-28 00:25:33.440  6022  6072 E godot   : WARNING: AnimationMixer (at: Lumax_Jen.tscn): 'discovered/annoyed_head_shake', couldn't resolve track:  '../AvatarModel/GeneralSkeleton:Head'. This warning can be disabled in Project Settings.
03-28 00:25:33.440  6022  6072 E godot   :    at: _update_caches (scene/animation/animation_mixer.cpp:717)
03-28 00:25:33.440  6022  6072 E godot   : WARNING: AnimationMixer (at: Lumax_Jen.tscn): 'discovered/annoyed_head_shake', couldn't resolve track:  '../AvatarModel/GeneralSkeleton:LeftShoulder'. This warning can be disabled in Project Settings.
03-28 00:25:33.440  6022  6072 E godot   :    at: _update_caches (scene/animation/animation_mixer.cpp:717)
03-28 00:25:33.440  6022  6072 E godot   : WARNING: AnimationMixer (at: Lumax_Jen.tscn): 'discovered/annoyed_head_shake', couldn't resolve track:  '../AvatarModel/GeneralSkeleton:LeftUpperArm'. This warning can be disabled in Project Settings.
03-28 00:25:33.440  6022  6072 E godot   :    at: _update_caches (scene/animation/animation_mixer.cpp:717)
03-28 00:25:33.440  6022  6072 E godot   : WARNING: AnimationMixer (at: Lumax_Jen.tscn): 'discovered/annoyed_head_shake', couldn't resolve track:  '../AvatarModel/GeneralSkeleton:LeftLowerArm'. This warning can be disabled in Project Settings.
03-28 00:25:33.440  6022  6072 E godot   :    at: _update_caches (scene/animation/animation_mixer.cpp:717)
03-28 00:25:33.440  6022  6072 E godot   : WARNING: AnimationMixer (at: Lumax_Jen.tscn): 'discovered/annoyed_head_shake', couldn't resolve track:  '../AvatarModel/GeneralSkeleton:LeftHand'. This warning can be disabled in Project Settings.
03-28 00:25:33.440  6022  6072 E godot   :    at: _update_caches (scene/animation/animation_mixer.cpp:717)
03-28 00:25:33.440  6022  6072 E godot   : WARNING: AnimationMixer (at: Lumax_Jen.tscn): 'discovered/annoyed_head_shake', couldn't resolve track:  '../AvatarModel/GeneralSkeleton:LeftThumbMetacarpal'. This warning can be disabled in Project Settings.
03-28 00:25:33.440  6022  6072 E godot   :    at: _update_caches (scene/animation/animation_mixer.cpp:717)
03-28 00:25:33.440  6022  6072 E godot   : WARNING: AnimationMixer (at: Lumax_Jen.tscn): 'discovered/annoyed_head_shake', couldn't resolve track:  '../AvatarModel/GeneralSkeleton:LeftThumbProximal'. This warning can be disabled in Project Settings.
03-28 00:25:33.440  6022  6072 E godot   :    at: _update_caches (scene/animation/animation_mixer.cpp:717)
03-28 00:25:33.440  6022  6072 E godot   : WARNING: AnimationMixer (at: Lumax_Jen.tscn): 'discovered/annoyed_head_shake', couldn't resolve track:  '../AvatarModel/GeneralSkeleton:LeftThumbDistal'. This warning can be disabled in Project Settings.
03-28 00:25:33.440  6022  6072 E godot   :    at: _update_caches (scene/animation/animation_mixer.cpp:717)
03-28 00:25:33.440  6022  6072 E godot   : WARNING: AnimationMixer (at: Lumax_Jen.tscn): 'discovered/annoyed_head_shake', couldn't resolve track:  '../AvatarModel/GeneralSkeleton:LeftIndexProximal'. This warning can be disabled in Project Settings.
03-28 00:25:33.440  6022  6072 E godot   :    at: _update_caches (scene/animation/animation_mixer.cpp:717)
03-28 00:25:33.440  6022  6072 E godot   : WARNING: AnimationMixer (at: Lumax_Jen.tscn): 'discovered/annoyed_head_shake', couldn't resolve track:  '../AvatarModel/GeneralSkeleton:LeftIndexIntermediate'. This warning can be disabled in Project Settings.
03-28 00:25:33.440  6022  6072 E godot   :    at: _update_caches (scene/animation/animation_mixer.cpp:717)
03-28 00:25:33.440  6022  6072 E godot   : WARNING: AnimationMixer (at: Lumax_Jen.tscn): 'discovered/annoyed_head_shake', couldn't resolve track:  '../AvatarModel/GeneralSkeleton:LeftIndexDistal'. This warning can be disabled in Project Settings.
03-28 00:25:33.440  6022  6072 E godot   :    at: _update_caches (scene/animation/animation_mixer.cpp:717)
03-28 00:25:33.440  6022  6072 E godot   : WARNING: AnimationMixer (at: Lumax_Jen.tscn): 'discovered/annoyed_head_shake', couldn't resolve track:  '../AvatarModel/GeneralSkeleton:LeftMiddleProximal'. This warning can be disabled in Project Settings.
03-28 00:25:33.440  6022  6072 E godot   :    at: _update_caches (scene/animation/animation_mixer.cpp:717)
03-28 00:25:33.440  6022  6072 E godot   : WARNING: AnimationMixer (at: Lumax_Jen.tscn): 'discovered/annoyed_head_shake', couldn't resolve track:  '../AvatarModel/GeneralSkeleton:LeftMiddleIntermediate'. This warning can be disabled in Project Settings.
03-28 00:25:33.440  6022  6072 E godot   :    at: _update_caches (scene/animation/animation_mixer.cpp:717)
03-28 00:25:33.440  6022  6072 E godot   : WARNING: AnimationMixer (at: Lumax_Jen.tscn): 'discovered/annoyed_head_shake', couldn't resolve track:  '../AvatarModel/GeneralSkeleton:LeftMiddleDistal'. This warning can be disabled in Project Settings.
03-28 00:25:33.440  6022  6072 E godot   :    at: _update_caches (scene/animation/animation_mixer.cpp:717)
03-28 00:25:33.440  6022  6072 E godot   : WARNING: AnimationMixer (at: Lumax_Jen.tscn): 'discovered/annoyed_head_shake', couldn't resolve track:  '../AvatarModel/GeneralSkeleton:LeftRingProximal'. This warning can be disabled in Project Settings.
03-28 00:25:33.440  6022  6072 E godot   :    at: _update_caches (scene/animation/animation_mixer.cpp:717)
03-28 00:25:33.440  6022  6072 E godot   : WARNING: AnimationMixer (at: Lumax_Jen.tscn): 'discovered/annoyed_head_shake', couldn't resolve track:  '../AvatarModel/GeneralSkeleton:LeftRingIntermediate'. This warning can be disabled in Project Settings.
03-28 00:25:33.440  6022  6072 E godot   :    at: _update_caches (scene/animation/animation_mixer.cpp:717)
03-28 00:25:33.440  6022  6072 E godot   : WARNING: AnimationMixer (at: Lumax_Jen.tscn): 'discovered/annoyed_head_shake', couldn't resolve track:  '../AvatarModel/GeneralSkeleton:LeftRingDistal'. This warning can be disabled in Project Settings.
